id,Name,Type,Date (UTC),Description,Statement Descriptor,Unit Label,Url
prod_SM1TUdcFlYVrYq,EmpireLink CIC Relay Node,service,5/21/2025 20:39,"Enable external command centers to relay data with CIC integration using token management. Includes relay node license, secure token gateway, and dashboard mirroring package.",,,
prod_SM1Eb84Daiz5KV,BioForge GenSecure AI Core,service,5/21/2025 20:25,Autonomous AI governance engine for biotech data and system security,,,
prod_SM1DvcqMwtkbKj,EduVerse Student ID SecurePass,service,5/21/2025 20:23,"Manages, authenticates, and encrypts student digital identity systems",,,
prod_SM1CuU5fuYjWoT,CivIntel Clearance Monitor,service,5/21/2025 20:23,Tracks clearance status changes across personnel databases in real-time,,,
prod_SM1Be6m4IMHvWk,FinShield API VaultGate™,service,5/21/2025 20:21,Protects FinTech APIs and transaction endpoints from injection attacks,,,
prod_SM1AXZ8QBsC4ky,AgriDyn PrecisionRisk AI,service,5/21/2025 20:20,"Weather, soil, and crop threat modeling using AI fusion models",,,
prod_SM19DvcAv15x61,Dynasec Partner Launch Kit,service,5/21/2025 20:20,"Full partner onboarding pack with CIC access, product tiles, and Stripe mapping",,,
prod_SM19aymrcIHHye,VaultMesh Patent Syndication Hub,service,5/21/2025 20:19,AI-managed marketplace for global IP syndication and licensing,,,
prod_SM18cNp3zXTjS8,RetailIntel VisualShield™,service,5/21/2025 20:18,Monitors in-store surveillance feeds for visual anomaly detection,,,
prod_SM17FIi3rjM8NI,HealthSec PHI Fortress,service,5/21/2025 20:17,Secures electronic health records (EHR) with zero-trust perimeter logic,,,
prod_SM15ISqogbTaKu,OrbitalSec Telemetry ThreatLink,service,5/21/2025 20:16,Detects anomalies in real-time telemetry feeds from satellites & drones,,,
prod_SM12KN2I90DtGm,BioForge Pathogen Risk Core,service,5/21/2025 20:12,Cyber-physical threat intel suite for biotech and public health assets,,,
prod_SM11zxmgtR0PjM,EduVerse FacultySec Pro,service,5/21/2025 20:12,Academic staff cybersecurity & digital identity enforcement,,,
prod_SM11IJvjKn80Bm,CivIntel AI Surveillance Grid,service,5/21/2025 20:11,AI-integrated surveillance and open-source intel aggregation,,,
prod_SM10poK7xxDGsO,FinShield Real-Time Audit Core,service,5/21/2025 20:10,"AI auditing suite for financial networks, SOC 2 & PCI-DSS prep",,,
prod_SM0zxBFin2YHVU,AgriDyn IoT Mesh Sentinel,service,5/21/2025 20:09,"Protects connected sensors, irrigation, and machinery in smart farms",,,
prod_SM0y657OYjw7rX,Dynasec Partner Access License (Full Stack),service,5/21/2025 20:09,Grants external partners complete CIC + Stripe product access with API keys,,,
prod_SM0ywQxMOSPDdR,VaultMind IP Licensing Kit,service,5/21/2025 20:08,Auto-generates license agreements for patent-backed tech,,,
prod_SM0xwagUYknCia,RetailIntel SignalLock™,service,5/21/2025 20:07,"Secure and audit Wi-Fi, POS, and sensor-based retail networks",,,
prod_SM0wCxKSpBscQg,HealthSec ZeroLeak Scan Engine,service,5/21/2025 20:06,Detects PHI/PII exposure vectors in real-time across healthcare systems,,,
prod_SM0vFUa0f0C644,OrbitalSec SpaceOps Command Suite,service,5/21/2025 20:05,Tactical AI command system for satellite and space asset coordination,,,
prod_SM0n3oggQUEUIX,BioForge ThreatDNA Suite,service,5/21/2025 19:57,Secures genomic data pipelines against cyberbiological threats,,,
prod_SM0m3PPZEIkja4,EduVerse CampusLock,service,5/21/2025 19:57,Academic cybersecurity suite for K–12 and universities,,,
prod_SM0mAVRvIpm4fa,CivIntel Recon Report Engine,service,5/21/2025 19:56,Aggregates open-source intelligence into actionable insights,,,
prod_SM0lS0xWgVHbV5,FinShield FraudNet AI,service,5/21/2025 19:56,Real-time detection and response for financial threat surfaces,,,
prod_SM0l32EHE3cHVx,AgriDyn FieldShield Suite,service,5/21/2025 19:55,AI defense for smart agriculture & IoT farm assets,,,
prod_SM0lvvdf6qu8TD,Dynasec AI BrandForge™,service,5/21/2025 19:55,Full AI-powered branding package for startups and partners,,,
prod_SM0k0nfg9nUJQB,VaultMind Patent Generator,service,5/21/2025 19:54,AI-assisted patent creation tool with IP protection tracking,,,
prod_SM0kkK8W5xgZ00,RetailIntel Threat Auditor,service,5/21/2025 19:54,"Monitor, log, and defend retail POS and inventory systems",,,
